Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Nuc_Completeness,Geo_Location,Country,Host,Isolation_Source,Collection_Date
MH887786,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0141-EDO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-01-19
MH887787,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0081-EDO-2017,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2017-06-05
MH887788,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0107-ONDO-2017,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2017-12-17
MH887789,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0090-ONDO-2017,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2017-07-19
MH887790,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0120-ONDO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-01-11
MH887791,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0106-ONDO-2017,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2017-12-17
MH887792,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0180-UNKNOWN-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-02-13
MH887793,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0065-ONDO-2017,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2017-01-09
MH887794,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0115-ONDO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-01-06
MH887795,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0112-ONDO-2017,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2017-12-29
MH887796,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0160-KOGI-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-02-06
MH887797,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0103-EDO-2017,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2017-11-29
MH887798,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0199.2-EDO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-02-25
MH887799,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0165-EBONYI-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-02-10
MH887800,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0082-EDO-2017,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2017-06-07
MH887801,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0083-ONDO-2017,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2017-06-13
MH887802,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0192.2-ONDO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-02-28
MH887803,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0207-ONDO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-02-28
MH887804,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0123-ONDO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-01-12
MH887805,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0117-ONDO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-01-07
MH887806,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0188-ONDO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-02-14
MH887807,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0173-EDO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-02-12
